Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,hit_year
spotify:track:24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga;Ariana Grande,5/22/2020,182200,69,False,nick170708!,2024-02-01T17:29:31Z,"art pop,pop",Interscope Records,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,4,2020
spotify:track:0v1x6rN6JHRapa03JElljE,Dynamite,Dynamite,BTS,8/21/2020,199053,2,False,nick170708!,2024-02-01T17:29:31Z,k-pop,2020 BigHit Entertainment,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4,2020
spotify:track:3jjujdWJ72nww5eGnfs2E7,Adore You,Fine Line,Harry Styles,12/13/2019,207139,79,False,nick170708!,2024-02-01T17:29:31Z,,Columbia,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,4,2020
spotify:track:1daDRI9ahBonbWD8YcxOIB,Angels Like You,Plastic Hearts,Miley Cyrus,11/27/2020,196454,82,False,nick170708!,2024-11-26T19:28:42Z,,RCA Records Label,0.672,0.642,5,-4.035,1,0.0313,0.0981,0.0,0.1,0.494,121.981,4,2020
spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,august,folklore,Taylor Swift,7/24/2020,261922,85,False,nick170708!,2024-02-01T17:29:31Z,,Taylor Swift,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,4,2020
spotify:track:6jRq8gaZhMUyy5RclRPcAf,hot girl bummer,everything means nothing,blackbear,8/21/2020,188343,74,True,nick170708!,2024-02-01T17:29:31Z,,Alamo,0.782,0.559,6,-7.106,0,0.0767,0.125,0.0,0.385,0.685,129.992,1,2020
spotify:track:6bnF93Rx87YqUBLSgjiMU8,Heartless,After Hours,The Weeknd,3/20/2020,198266,78,True,nick170708!,2024-08-19T16:35:16Z,,Republic Records,0.537,0.746,10,-5.507,0,0.15,0.0236,1e-06,0.156,0.252,170.083,4,2020
spotify:track:127QTOFJsJQp5LbJbu3A1y,Toosie Slide,Toosie Slide,Drake,4/3/2020,247058,70,True,nick170708!,2024-02-01T17:29:31Z,rap,OVO,0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618,4,2020
spotify:track:5RqR4ZCCKJDcBLIn4sih9l,Party Girl,Party Girl,StaySolidRocky,4/21/2020,147800,69,True,nick170708!,2024-02-01T17:29:31Z,,Columbia,0.728,0.431,6,-9.966,0,0.0622,0.749,0.0,0.0996,0.629,130.022,4,2020
spotify:track:2b8fOow8UzyDFAE27YhOZM,Memories,Memories,Maroon 5,9/20/2019,189486,34,False,nick170708!,2024-02-01T17:29:31Z,pop,222 Records/Interscope Records,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,4,2020
