track_name,artist_names,release_date,duration_ms,popularity,explicit,added_at,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hit_year,release_year,hit
Stuck with U (with Justin Bieber),Ariana Grande;Justin Bieber,2020-05-08,228482,81,False,2024-02-01T17:29:31Z,pop,0.597,0.45,8,-6.658,1,0.0418,0.223,0.0,0.382,0.537,178.765,3,2020,2020,1
Heather,Conan Gray,2020-03-20,198040,85,False,2024-02-01T17:29:31Z,unknown,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,3,2020,2020,1
Intentions (feat. Quavo),Justin Bieber;Quavo,2020-02-14,212866,76,False,2024-02-01T17:29:31Z,unknown,0.806,0.546,9,-6.637,1,0.0579,0.298,0.0,0.102,0.875,147.988,4,2020,2020,1
No Idea,Don Toliver,2019-05-29,154424,0,False,2024-09-17T16:09:55Z,unknown,0.651,0.631,6,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,4,2020,2019,0
Life Is Good (feat. Drake),Future;Drake,2020-01-10,237735,72,True,2024-02-01T17:29:31Z,rap,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,4,2020,2020,1
HIGHEST IN THE ROOM,Travis Scott,2019-10-04,175720,83,True,2024-02-01T17:29:31Z,rap,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4,2020,2019,1
For The Night (feat. Lil Baby & DaBaby),Pop Smoke;Lil Baby;DaBaby,2020-07-03,190476,75,True,2024-02-01T17:29:31Z,"brooklyn drill,new york drill,drill",0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,4,2020,2020,1
Borderline,Tame Impala,2020-02-14,237800,85,False,2025-10-25T14:55:38Z,"neo-psychedelic,indie",0.621,0.873,5,-3.067,0,0.0369,0.0406,9.1e-06,0.0824,0.873,97.96,4,2020,2020,1
Roses - Imanbek Remix,SAINt JHN;Imanbek,2019-09-13,176218,8,True,2024-02-01T17:29:31Z,slap house,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,4,2020,2019,0
you broke me first,Tate McRae,2020-04-17,169265,5,True,2024-02-01T17:29:31Z,unknown,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,4,2020,2020,0
Supalonely (feat. Gus Dapperton),BENEE;Gus Dapperton,2020-11-13,223488,60,True,2024-02-01T17:29:31Z,bedroom pop,0.862,0.631,7,-4.746,1,0.0515,0.291,0.000209,0.123,0.841,128.978,4,2020,2020,0
Sunday Best,Surfaces,2019-01-06,158571,5,False,2024-02-01T17:29:31Z,unknown,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,4,2020,2019,0
Shut up My Moms Calling,Hotel Ugly,2020-02-10,164571,87,False,2024-11-26T19:26:57Z,unknown,0.485,0.409,9,-10.711,0,0.101,0.325,0.0,0.103,0.376,138.419,4,2020,2020,1
Yummy,Justin Bieber,2020-01-03,210426,65,False,2024-02-01T17:29:31Z,unknown,0.688,0.514,9,-6.612,0,0.0903,0.366,0.0,0.116,0.494,145.919,4,2020,2020,0
Savage Remix (feat. Beyoncé),Megan Thee Stallion;Beyoncé,2020-04-29,242000,59,True,2024-02-01T17:29:31Z,unknown,0.822,0.743,10,-4.772,0,0.28,0.016,0.0,0.127,0.636,84.459,4,2020,2020,0
How You Like That,BLACKPINK,2020-06-26,181263,1,False,2024-02-01T17:29:31Z,k-pop,0.828,0.782,11,-4.014,1,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,4,2020,2020,0
Break My Heart,Dua Lipa,2020-03-25,221820,59,False,2025-01-11T21:58:35Z,pop,0.73,0.729,4,-3.434,0,0.0886,0.167,1.39e-06,0.349,0.467,113.012,4,2020,2020,0
Tusa,KAROL G;Nicki Minaj,2019-11-07,200960,73,True,2024-02-01T17:29:31Z,"reggaeton,latin,urbano latino",0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,4,2020,2019,1
Hawái,Maluma,2020-08-21,199112,79,False,2024-02-01T17:29:31Z,"reggaeton,latin,urbano latino",0.783,0.727,6,-3.454,0,0.389,0.185,2.46e-05,0.0626,0.558,180.067,4,2020,2020,1
UN DIA (ONE DAY) (Feat. Tainy),J Balvin;Dua Lipa;Bad Bunny;Tainy,2020-07-24,232253,70,False,2024-02-01T17:29:31Z,"reggaeton,latin,pop,trap latino,urbano latino",0.571,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.173,0.393,168.169,4,2020,2020,1
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes;Justin Bieber,2020-11-20,178994,67,False,2024-02-01T17:29:31Z,unknown,0.652,0.383,2,-7.076,0,0.0516,0.0676,0.0,0.0828,0.549,145.765,4,2020,2020,0
July,Noah Cyrus,2020-05-15,156106,79,False,2024-02-01T17:29:31Z,unknown,0.708,0.186,9,-8.953,0,0.042,0.868,0.0,0.0779,0.322,72.541,4,2020,2020,1
